TimeID,OrderDate,OrderYear,OrderMonth,DayOfWeek,OrderQuarter
1,2014-11-11,2014,November,Tuesday,Q4
2,2014-02-05,2014,February,Wednesday,Q1
3,2014-10-17,2014,October,Friday,Q4
4,2014-01-28,2014,January,Tuesday,Q1
5,2014-11-05,2014,November,Wednesday,Q4
6,2014-06-28,2014,June,Saturday,Q2
7,2012-11-06,2012,November,Tuesday,Q4
8,2013-04-14,2013,April,Sunday,Q2
9,2012-03-06,2012,March,Tuesday,Q1
10,2013-04-19,2013,April,Friday,Q2
11,2012-12-26,2012,December,Wednesday,Q4
12,2013-11-13,2013,November,Wednesday,Q4
13,2014-06-06,2014,June,Friday,Q2
14,2015-07-31,2015,July,Friday,Q3
15,2012-02-19,2012,February,Sunday,Q1
16,2015-09-08,2015,September,Tuesday,Q3
17,2015-01-31,2015,January,Saturday,Q1
18,2015-12-05,2015,December,Saturday,Q4
19,2013-08-08,2013,August,Thursday,Q3
20,2012-05-01,2012,May,Tuesday,Q2
21,2014-02-27,2014,February,Thursday,Q1
22,2015-09-05,2015,September,Saturday,Q3
23,2012-12-16,2012,December,Sunday,Q4
24,2012-03-13,2012,March,Tuesday,Q1
25,2012-04-21,2012,April,Saturday,Q2
26,2013-02-24,2013,February,Sunday,Q1
27,2012-12-27,2012,December,Thursday,Q4
28,2013-07-17,2013,July,Wednesday,Q3
29,2013-12-27,2013,December,Friday,Q4
30,2012-11-02,2012,November,Friday,Q4
31,2012-09-13,2012,September,Thursday,Q3
32,2012-05-12,2012,May,Saturday,Q2
33,2012-12-30,2012,December,Sunday,Q4
34,2015-01-14,2015,January,Wednesday,Q1
35,2012-01-10,2012,January,Tuesday,Q1
36,2014-08-22,2014,August,Friday,Q3
37,2015-11-11,2015,November,Wednesday,Q4
38,2015-09-26,2015,September,Saturday,Q3
39,2013-12-13,2013,December,Friday,Q4
40,2012-09-22,2012,September,Saturday,Q3
41,2014-03-21,2014,March,Friday,Q1
42,2014-03-08,2014,March,Saturday,Q1
43,2015-08-28,2015,August,Friday,Q3
44,2015-05-01,2015,May,Friday,Q2
45,2015-12-18,2015,December,Friday,Q4
46,2012-10-24,2012,October,Wednesday,Q4
47,2015-09-18,2015,September,Friday,Q3
48,2014-12-18,2014,December,Thursday,Q4
49,2013-05-30,2013,May,Thursday,Q2
50,2013-05-25,2013,May,Saturday,Q2
51,2015-08-05,2015,August,Wednesday,Q3
52,2015-03-11,2015,March,Wednesday,Q1
53,2015-12-19,2015,December,Saturday,Q4
54,2015-08-11,2015,August,Tuesday,Q3
55,2014-08-31,2014,August,Sunday,Q3
56,2015-01-18,2015,January,Sunday,Q1
57,2015-01-03,2015,January,Saturday,Q1
58,2015-12-07,2015,December,Monday,Q4
59,2015-12-16,2015,December,Wednesday,Q4
60,2015-11-20,2015,November,Friday,Q4
61,2012-11-08,2012,November,Thursday,Q4
62,2014-06-07,2014,June,Saturday,Q2
63,2012-11-21,2012,November,Wednesday,Q4
64,2014-03-29,2014,March,Saturday,Q1
65,2015-08-26,2015,August,Wednesday,Q3
66,2013-09-20,2013,September,Friday,Q3
67,2015-05-16,2015,May,Saturday,Q2
68,2015-08-02,2015,August,Sunday,Q3
69,2014-11-24,2014,November,Monday,Q4
70,2012-10-27,2012,October,Saturday,Q4
71,2015-11-19,2015,November,Thursday,Q4
72,2015-10-28,2015,October,Wednesday,Q4
73,2014-09-26,2014,September,Friday,Q3
74,2014-01-29,2014,January,Wednesday,Q1
75,2013-09-18,2013,September,Wednesday,Q3
76,2014-11-23,2014,November,Sunday,Q4
77,2013-06-13,2013,June,Thursday,Q2
78,2014-10-28,2014,October,Tuesday,Q4
79,2014-12-12,2014,December,Friday,Q4
80,2015-10-04,2015,October,Sunday,Q4
81,2014-12-02,2014,December,Tuesday,Q4
82,2013-05-07,2013,May,Tuesday,Q2
83,2014-11-27,2014,November,Thursday,Q4
84,2013-11-28,2013,November,Thursday,Q4
85,2013-09-29,2013,September,Sunday,Q3
86,2014-09-03,2014,September,Wednesday,Q3
87,2014-07-26,2014,July,Saturday,Q3
88,2013-06-19,2013,June,Wednesday,Q2
89,2013-10-11,2013,October,Friday,Q4
90,2012-08-08,2012,August,Wednesday,Q3
91,2012-11-04,2012,November,Sunday,Q4
92,2012-07-26,2012,July,Thursday,Q3
93,2014-04-26,2014,April,Saturday,Q2
94,2014-12-26,2014,December,Friday,Q4
95,2014-03-13,2014,March,Thursday,Q1
96,2013-04-05,2013,April,Friday,Q2
97,2013-12-26,2013,December,Thursday,Q4
98,2014-04-18,2014,April,Friday,Q2
99,2012-05-23,2012,May,Wednesday,Q2
100,2014-05-16,2014,May,Friday,Q2
101,2012-02-16,2012,February,Thursday,Q1
102,2014-05-31,2014,May,Saturday,Q2
103,2014-10-01,2014,October,Wednesday,Q4
104,2015-11-07,2015,November,Saturday,Q4
105,2014-09-02,2014,September,Tuesday,Q3
106,2014-12-11,2014,December,Thursday,Q4
107,2015-03-18,2015,March,Wednesday,Q1
108,2014-03-14,2014,March,Friday,Q1
109,2014-11-25,2014,November,Tuesday,Q4
110,2014-11-07,2014,November,Friday,Q4
111,2015-07-19,2015,July,Sunday,Q3
112,2013-08-16,2013,August,Friday,Q3
113,2015-11-06,2015,November,Friday,Q4
114,2013-01-10,2013,January,Thursday,Q1
115,2013-06-14,2013,June,Friday,Q2
116,2013-12-06,2013,December,Friday,Q4
117,2014-09-05,2014,September,Friday,Q3
118,2013-08-03,2013,August,Saturday,Q3
119,2015-12-09,2015,December,Wednesday,Q4
120,2013-10-25,2013,October,Friday,Q4
121,2015-05-08,2015,May,Friday,Q2
122,2014-08-27,2014,August,Wednesday,Q3
123,2012-09-19,2012,September,Wednesday,Q3
124,2014-03-11,2014,March,Tuesday,Q1
125,2013-02-01,2013,February,Friday,Q1
126,2015-04-09,2015,April,Thursday,Q2
127,2014-08-30,2014,August,Saturday,Q3
128,2015-03-19,2015,March,Thursday,Q1
129,2014-10-02,2014,October,Thursday,Q4
130,2014-01-12,2014,January,Sunday,Q1
131,2015-08-20,2015,August,Thursday,Q3
132,2015-03-14,2015,March,Saturday,Q1
133,2015-07-09,2015,July,Thursday,Q3
134,2014-06-11,2014,June,Wednesday,Q2
135,2012-08-09,2012,August,Thursday,Q3
136,2015-03-17,2015,March,Tuesday,Q1
137,2014-01-02,2014,January,Thursday,Q1
138,2013-10-10,2013,October,Thursday,Q4
139,2012-06-16,2012,June,Saturday,Q2
140,2015-04-03,2015,April,Friday,Q2
141,2012-05-16,2012,May,Wednesday,Q2
142,2015-02-11,2015,February,Wednesday,Q1
143,2014-10-12,2014,October,Sunday,Q4
144,2015-09-17,2015,September,Thursday,Q3
145,2015-07-17,2015,July,Friday,Q3
146,2015-11-22,2015,November,Sunday,Q4
147,2012-05-29,2012,May,Tuesday,Q2
148,2015-08-29,2015,August,Saturday,Q3
149,2014-05-01,2014,May,Thursday,Q2
150,2012-08-15,2012,August,Wednesday,Q3
151,2015-12-03,2015,December,Thursday,Q4
152,2014-06-25,2014,June,Wednesday,Q2
153,2014-01-21,2014,January,Tuesday,Q1
154,2015-10-24,2015,October,Saturday,Q4
155,2015-07-12,2015,July,Sunday,Q3
156,2015-09-01,2015,September,Tuesday,Q3
157,2012-06-06,2012,June,Wednesday,Q2
158,2012-10-12,2012,October,Friday,Q4
159,2014-06-10,2014,June,Tuesday,Q2
160,2015-12-13,2015,December,Sunday,Q4
161,2014-09-16,2014,September,Tuesday,Q3
162,2015-06-10,2015,June,Wednesday,Q2
163,2012-02-15,2012,February,Wednesday,Q1
164,2014-11-28,2014,November,Friday,Q4
165,2014-06-27,2014,June,Friday,Q2
166,2015-04-16,2015,April,Thursday,Q2
167,2013-08-02,2013,August,Friday,Q3
168,2015-04-07,2015,April,Tuesday,Q2
169,2014-08-02,2014,August,Saturday,Q3
170,2015-05-22,2015,May,Friday,Q2
171,2012-02-10,2012,February,Friday,Q1
172,2014-09-27,2014,September,Saturday,Q3
173,2015-06-02,2015,June,Tuesday,Q2
174,2014-09-30,2014,September,Tuesday,Q3
175,2012-07-18,2012,July,Wednesday,Q3
176,2015-08-14,2015,August,Friday,Q3
177,2015-10-31,2015,October,Saturday,Q4
178,2014-07-25,2014,July,Friday,Q3
179,2015-10-07,2015,October,Wednesday,Q4
180,2015-10-17,2015,October,Saturday,Q4
181,2014-12-03,2014,December,Wednesday,Q4
182,2015-11-08,2015,November,Sunday,Q4
183,2012-09-20,2012,September,Thursday,Q3
184,2012-06-20,2012,June,Wednesday,Q2
185,2015-05-20,2015,May,Wednesday,Q2
186,2015-11-26,2015,November,Thursday,Q4
187,2013-03-30,2013,March,Saturday,Q1
188,2012-11-09,2012,November,Friday,Q4
189,2013-08-01,2013,August,Thursday,Q3
190,2014-01-23,2014,January,Thursday,Q1
191,2012-05-20,2012,May,Sunday,Q2
192,2015-09-28,2015,September,Monday,Q3
193,2012-11-05,2012,November,Monday,Q4
194,2015-01-28,2015,January,Wednesday,Q1
195,2015-09-13,2015,September,Sunday,Q3
196,2015-11-27,2015,November,Friday,Q4
197,2012-12-21,2012,December,Friday,Q4
198,2012-04-26,2012,April,Thursday,Q2
199,2012-10-05,2012,October,Friday,Q4
200,2014-08-24,2014,August,Sunday,Q3
201,2014-09-21,2014,September,Sunday,Q3
202,2015-12-17,2015,December,Thursday,Q4
203,2012-11-15,2012,November,Thursday,Q4
204,2013-12-21,2013,December,Saturday,Q4
205,2015-06-03,2015,June,Wednesday,Q2
206,2015-09-12,2015,September,Saturday,Q3
207,2015-04-17,2015,April,Friday,Q2
208,2013-11-21,2013,November,Thursday,Q4
209,2015-03-06,2015,March,Friday,Q1
210,2013-07-23,2013,July,Tuesday,Q3
211,2012-06-10,2012,June,Sunday,Q2
212,2013-09-14,2013,September,Saturday,Q3
213,2012-11-24,2012,November,Saturday,Q4
214,2013-08-10,2013,August,Saturday,Q3
215,2014-03-20,2014,March,Thursday,Q1
216,2014-12-30,2014,December,Tuesday,Q4
217,2013-10-04,2013,October,Friday,Q4
218,2013-08-06,2013,August,Tuesday,Q3
219,2013-10-02,2013,October,Wednesday,Q4
220,2015-03-26,2015,March,Thursday,Q1
221,2015-11-21,2015,November,Saturday,Q4
222,2012-11-29,2012,November,Thursday,Q4
223,2013-12-20,2013,December,Friday,Q4
224,2013-09-13,2013,September,Friday,Q3
225,2012-09-21,2012,September,Friday,Q3
226,2013-11-09,2013,November,Saturday,Q4
227,2013-05-23,2013,May,Thursday,Q2
228,2014-06-22,2014,June,Sunday,Q2
229,2015-04-14,2015,April,Tuesday,Q2
230,2012-03-30,2012,March,Friday,Q1
231,2013-02-03,2013,February,Sunday,Q1
232,2014-05-29,2014,May,Thursday,Q2
233,2013-08-29,2013,August,Thursday,Q3
234,2012-06-14,2012,June,Thursday,Q2
235,2012-10-26,2012,October,Friday,Q4
236,2015-09-11,2015,September,Friday,Q3
237,2013-08-28,2013,August,Wednesday,Q3
238,2014-08-01,2014,August,Friday,Q3
239,2015-12-24,2015,December,Thursday,Q4
240,2013-02-22,2013,February,Friday,Q1
241,2015-10-11,2015,October,Sunday,Q4
242,2015-04-21,2015,April,Tuesday,Q2
243,2014-06-12,2014,June,Thursday,Q2
244,2014-09-17,2014,September,Wednesday,Q3
245,2015-09-19,2015,September,Saturday,Q3
246,2015-06-20,2015,June,Saturday,Q2
247,2015-10-23,2015,October,Friday,Q4
248,2015-04-02,2015,April,Thursday,Q2
249,2015-11-13,2015,November,Friday,Q4
250,2014-06-13,2014,June,Friday,Q2
251,2015-09-22,2015,September,Tuesday,Q3
252,2012-01-08,2012,January,Sunday,Q1
253,2014-07-30,2014,July,Wednesday,Q3
254,2015-04-30,2015,April,Thursday,Q2
255,2012-09-27,2012,September,Thursday,Q3
256,2015-06-24,2015,June,Wednesday,Q2
257,2012-04-05,2012,April,Thursday,Q2
258,2015-08-07,2015,August,Friday,Q3
259,2015-02-14,2015,February,Saturday,Q1
260,2012-12-23,2012,December,Sunday,Q4
261,2013-08-17,2013,August,Saturday,Q3
262,2013-08-07,2013,August,Wednesday,Q3
263,2014-05-03,2014,May,Saturday,Q2
264,2013-08-09,2013,August,Friday,Q3
265,2014-02-21,2014,February,Friday,Q1
266,2013-07-18,2013,July,Thursday,Q3
267,2014-09-12,2014,September,Friday,Q3
268,2013-06-18,2013,June,Tuesday,Q2
269,2014-12-31,2014,December,Wednesday,Q4
270,2013-01-15,2013,January,Tuesday,Q1
271,2013-06-12,2013,June,Wednesday,Q2
272,2015-12-22,2015,December,Tuesday,Q4
273,2014-09-14,2014,September,Sunday,Q3
274,2014-01-07,2014,January,Tuesday,Q1
275,2015-06-27,2015,June,Saturday,Q2
276,2013-07-13,2013,July,Saturday,Q3
277,2015-05-29,2015,May,Friday,Q2
278,2015-02-24,2015,February,Tuesday,Q1
279,2014-12-23,2014,December,Tuesday,Q4
280,2015-06-17,2015,June,Wednesday,Q2
281,2015-03-15,2015,March,Sunday,Q1
282,2015-06-09,2015,June,Tuesday,Q2
283,2015-10-15,2015,October,Thursday,Q4
284,2015-08-06,2015,August,Thursday,Q3
285,2013-12-25,2013,December,Wednesday,Q4
286,2013-12-07,2013,December,Saturday,Q4
287,2014-06-17,2014,June,Tuesday,Q2
288,2015-11-03,2015,November,Tuesday,Q4
289,2013-05-28,2013,May,Tuesday,Q2
290,2014-08-17,2014,August,Sunday,Q3
291,2012-06-02,2012,June,Saturday,Q2
292,2012-07-13,2012,July,Friday,Q3
293,2012-10-16,2012,October,Tuesday,Q4
294,2012-11-13,2012,November,Tuesday,Q4
295,2015-07-14,2015,July,Tuesday,Q3
296,2015-12-15,2015,December,Tuesday,Q4
297,2015-06-28,2015,June,Sunday,Q2
298,2015-12-20,2015,December,Sunday,Q4
299,2013-02-05,2013,February,Tuesday,Q1
300,2012-01-21,2012,January,Saturday,Q1
301,2015-10-27,2015,October,Tuesday,Q4
302,2013-02-26,2013,February,Tuesday,Q1
303,2013-06-11,2013,June,Tuesday,Q2
304,2012-02-23,2012,February,Thursday,Q1
305,2014-07-20,2014,July,Sunday,Q3
306,2014-10-30,2014,October,Thursday,Q4
307,2014-05-04,2014,May,Sunday,Q2
308,2012-09-07,2012,September,Friday,Q3
309,2013-04-22,2013,April,Monday,Q2
310,2012-04-15,2012,April,Sunday,Q2
311,2014-04-12,2014,April,Saturday,Q2
312,2013-10-13,2013,October,Sunday,Q4
313,2015-01-30,2015,January,Friday,Q1
314,2013-10-12,2013,October,Saturday,Q4
315,2015-06-06,2015,June,Saturday,Q2
316,2014-09-19,2014,September,Friday,Q3
317,2013-12-31,2013,December,Tuesday,Q4
318,2015-12-29,2015,December,Tuesday,Q4
319,2014-11-15,2014,November,Saturday,Q4
320,2012-12-19,2012,December,Wednesday,Q4
321,2015-05-19,2015,May,Tuesday,Q2
322,2012-12-07,2012,December,Friday,Q4
323,2015-02-10,2015,February,Tuesday,Q1
324,2015-02-08,2015,February,Sunday,Q1
325,2014-08-05,2014,August,Tuesday,Q3
326,2015-04-15,2015,April,Wednesday,Q2
327,2013-11-07,2013,November,Thursday,Q4
328,2015-05-05,2015,May,Tuesday,Q2
329,2014-11-04,2014,November,Tuesday,Q4
330,2013-08-31,2013,August,Saturday,Q3
331,2014-06-20,2014,June,Friday,Q2
332,2015-08-23,2015,August,Sunday,Q3
333,2014-04-29,2014,April,Tuesday,Q2
334,2015-10-12,2015,October,Monday,Q4
335,2015-11-28,2015,November,Saturday,Q4
336,2013-05-11,2013,May,Saturday,Q2
337,2014-06-18,2014,June,Wednesday,Q2
338,2013-05-04,2013,May,Saturday,Q2
339,2012-11-10,2012,November,Saturday,Q4
340,2015-05-15,2015,May,Friday,Q2
341,2012-12-06,2012,December,Thursday,Q4
342,2014-09-10,2014,September,Wednesday,Q3
343,2012-03-02,2012,March,Friday,Q1
344,2013-01-01,2013,January,Tuesday,Q1
345,2013-10-30,2013,October,Wednesday,Q4
346,2014-11-19,2014,November,Wednesday,Q4
347,2014-08-15,2014,August,Friday,Q3
348,2014-06-08,2014,June,Sunday,Q2
349,2015-10-02,2015,October,Friday,Q4
350,2015-02-27,2015,February,Friday,Q1
351,2014-10-31,2014,October,Friday,Q4
352,2015-05-09,2015,May,Saturday,Q2
353,2015-07-04,2015,July,Saturday,Q3
354,2013-05-17,2013,May,Friday,Q2
355,2012-08-02,2012,August,Thursday,Q3
356,2015-09-20,2015,September,Sunday,Q3
357,2014-02-14,2014,February,Friday,Q1
358,2015-08-04,2015,August,Tuesday,Q3
359,2014-11-13,2014,November,Thursday,Q4
360,2015-02-12,2015,February,Thursday,Q1
361,2014-03-30,2014,March,Sunday,Q1
362,2014-08-19,2014,August,Tuesday,Q3
363,2013-08-22,2013,August,Thursday,Q3
364,2015-07-05,2015,July,Sunday,Q3
365,2013-03-14,2013,March,Thursday,Q1
366,2015-09-16,2015,September,Wednesday,Q3
367,2014-09-09,2014,September,Tuesday,Q3
368,2013-10-17,2013,October,Thursday,Q4
369,2015-02-17,2015,February,Tuesday,Q1
370,2013-02-23,2013,February,Saturday,Q1
371,2013-12-03,2013,December,Tuesday,Q4
372,2013-12-12,2013,December,Thursday,Q4
373,2015-06-16,2015,June,Tuesday,Q2
374,2015-05-13,2015,May,Wednesday,Q2
375,2013-05-10,2013,May,Friday,Q2
376,2014-09-13,2014,September,Saturday,Q3
377,2015-10-25,2015,October,Sunday,Q4
378,2014-02-02,2014,February,Sunday,Q1
379,2014-10-14,2014,October,Tuesday,Q4
380,2012-02-14,2012,February,Tuesday,Q1
381,2012-03-10,2012,March,Saturday,Q1
382,2013-06-20,2013,June,Thursday,Q2
383,2014-02-08,2014,February,Saturday,Q1
384,2013-06-23,2013,June,Sunday,Q2
385,2014-12-20,2014,December,Saturday,Q4
386,2012-08-28,2012,August,Tuesday,Q3
387,2015-07-18,2015,July,Saturday,Q3
388,2012-12-05,2012,December,Wednesday,Q4
389,2012-09-01,2012,September,Saturday,Q3
390,2013-08-27,2013,August,Tuesday,Q3
391,2014-12-24,2014,December,Wednesday,Q4
392,2013-11-30,2013,November,Saturday,Q4
393,2014-05-21,2014,May,Wednesday,Q2
394,2014-12-19,2014,December,Friday,Q4
395,2012-06-17,2012,June,Sunday,Q2
396,2013-01-09,2013,January,Wednesday,Q1
397,2012-07-17,2012,July,Tuesday,Q3
398,2013-04-12,2013,April,Friday,Q2
399,2015-07-03,2015,July,Friday,Q3
400,2015-08-18,2015,August,Tuesday,Q3
401,2015-07-11,2015,July,Saturday,Q3
402,2015-04-24,2015,April,Friday,Q2
403,2012-05-03,2012,May,Thursday,Q2
404,2015-11-12,2015,November,Thursday,Q4
405,2014-04-05,2014,April,Saturday,Q2
406,2015-07-10,2015,July,Friday,Q3
407,2015-10-06,2015,October,Tuesday,Q4
408,2014-06-01,2014,June,Sunday,Q2
409,2013-08-20,2013,August,Tuesday,Q3
410,2012-08-29,2012,August,Wednesday,Q3
411,2013-12-04,2013,December,Wednesday,Q4
412,2015-10-13,2015,October,Tuesday,Q4
413,2013-06-16,2013,June,Sunday,Q2
414,2014-08-20,2014,August,Wednesday,Q3
415,2013-06-21,2013,June,Friday,Q2
416,2014-04-30,2014,April,Wednesday,Q2
417,2013-06-15,2013,June,Saturday,Q2
418,2015-07-21,2015,July,Tuesday,Q3
419,2014-02-26,2014,February,Wednesday,Q1
420,2012-11-25,2012,November,Sunday,Q4
421,2013-05-24,2013,May,Friday,Q2
422,2012-11-03,2012,November,Saturday,Q4
423,2014-06-05,2014,June,Thursday,Q2
424,2014-05-14,2014,May,Wednesday,Q2
425,2014-10-21,2014,October,Tuesday,Q4
426,2014-07-15,2014,July,Tuesday,Q3
427,2015-12-02,2015,December,Wednesday,Q4
428,2015-01-08,2015,January,Thursday,Q1
429,2014-07-01,2014,July,Tuesday,Q3
430,2012-03-11,2012,March,Sunday,Q1
431,2014-01-15,2014,January,Wednesday,Q1
432,2012-11-18,2012,November,Sunday,Q4
433,2014-07-11,2014,July,Friday,Q3
434,2013-05-22,2013,May,Wednesday,Q2
435,2015-08-12,2015,August,Wednesday,Q3
436,2014-01-05,2014,January,Sunday,Q1
437,2014-12-16,2014,December,Tuesday,Q4
438,2013-07-04,2013,July,Thursday,Q3
439,2015-11-01,2015,November,Sunday,Q4
440,2013-07-03,2013,July,Wednesday,Q3
441,2015-11-29,2015,November,Sunday,Q4
442,2012-04-07,2012,April,Saturday,Q2
443,2013-05-09,2013,May,Thursday,Q2
444,2013-11-19,2013,November,Tuesday,Q4
445,2015-12-31,2015,December,Thursday,Q4
446,2014-11-14,2014,November,Friday,Q4
447,2014-03-19,2014,March,Wednesday,Q1
448,2013-03-21,2013,March,Thursday,Q1
449,2015-05-24,2015,May,Sunday,Q2
450,2014-06-14,2014,June,Saturday,Q2
451,2012-03-04,2012,March,Sunday,Q1
452,2014-12-09,2014,December,Tuesday,Q4
453,2014-10-09,2014,October,Thursday,Q4
454,2014-10-16,2014,October,Thursday,Q4
455,2014-04-16,2014,April,Wednesday,Q2
456,2012-10-18,2012,October,Thursday,Q4
457,2012-03-09,2012,March,Friday,Q1
458,2015-01-25,2015,January,Sunday,Q1
459,2015-06-18,2015,June,Thursday,Q2
460,2014-01-08,2014,January,Wednesday,Q1
461,2014-01-04,2014,January,Saturday,Q1
462,2014-09-24,2014,September,Wednesday,Q3
463,2012-06-21,2012,June,Thursday,Q2
464,2013-08-30,2013,August,Friday,Q3
465,2013-12-18,2013,December,Wednesday,Q4
466,2014-09-25,2014,September,Thursday,Q3
467,2015-03-24,2015,March,Tuesday,Q1
468,2014-01-31,2014,January,Friday,Q1
469,2012-12-02,2012,December,Sunday,Q4
470,2015-05-28,2015,May,Thursday,Q2
471,2015-06-14,2015,June,Sunday,Q2
472,2012-11-11,2012,November,Sunday,Q4
473,2012-08-16,2012,August,Thursday,Q3
474,2013-03-06,2013,March,Wednesday,Q1
475,2013-09-24,2013,September,Tuesday,Q3
476,2014-02-18,2014,February,Tuesday,Q1
477,2015-11-24,2015,November,Tuesday,Q4
